title,authors,journal,year,citations,scholar_link,theme,quartile
"Eye movement classification with EOG and motion sensors in instrumented eyewear","Pedrero-Sánchez, José F.; De Rosario, Helios; Martínez-Iranzo, Úrsula","6th International Conference on Ambulatory Monitoring of Physical Activity and Movement (ICAMPAM 2019), Maastricht, Poster session 3",2019,0,"https://zenodo.org/records/3877987","Wearables / Functional assessment","Conference; no journal quartile"
"Obtaining the vertical displacement of the center of masses during the stand test using accelerometers integrated in a Raspberry Pi","José Francisco Pedrero Sánchez; Juan Manuel Belda Lois","6th International Conference on Ambulatory Monitoring of Physical Activity and Movement (ICAMPAM 2019), Maastricht, Poster",2019,0,"https://www.researchgate.net/publication/355144268_Obtaining_the_vertical_displacement_of_the_center_of_masses_during_the_stand_test_using_accelerometers_integrated_in_a_Raspberry_Pi","Wearables / Functional assessment","Conference; no journal quartile"
